Date,Year,Type,Country,Source
22-Jan,2025,Unprovoked,australia,bob myatt gsaf
03-Jan,2025,Unprovoked,mozambique,kevin mcmurray trackingsharks.com
11-Jan,2025,Provoked,usa,kevin mcmurray trackingsharks.com
02-Jan,2025,Unprovoked,new caledonia,johannes marchand todd smith
02-Jan,2025,Unprovoked,australia,glen folkard: simon de marchi news.com.au: the news daily: the national tribune:
30-Dec,2024,Unprovoked,mozambique,kevin mcmurray trackingsharks.com
29-Dec,2024,Unprovoked,egypt,todd smith : kevin mcmurray trackingsharks .com: christofer eskander: simon de marchi: glen folkard
29-Dec,2024,Unprovoked,egypt,todd smith : kevin mcmurray trackingsharks .com: christofer eskander: simon de marchi: glen folkard
28-Dec,2024,Unprovoked,australia,todd smith glen folkard abc news: the north west star: 9.com.au:
02-Dec,2024,Unprovoked,australia,glen folkard gsaf
01-Dec,2024,Unprovoked,australia,bob myatt gsaf
30-Nov,2024,Unprovoked,thailand,kevin mcmurray tracking sharks.com
19-Nov,2024,Unprovoked,new zealand,glen folkhard: todd smith: andy currie kevin mcmurray tracking sharks.com
15-Nov,2024,Unprovoked,maldives,the edition: kevin mcmurray tracking sharks.com: andy currie
01-Nov,2024,Unprovoked,hawaii,glen folkard: independent: fox news: sky news hawaii news hour:
31-Oct,2024,Unprovoked,australia,simon de marchi: 9 news: 7 news: abc news:
25-Oct,2024,Unprovoked,usa,bob myatt: yardbarker: 12 on your side: wptv: the inertia:
14-Oct,2024,Unprovoked,honduras,georgienne bradley: daily mail uk: ftn news.com
11-Oct,2024,Unprovoked,usa,todd smithflorida today: news 4:
26-Sep,2024,Unconfirmed,indonesia,new york post: espn: bob myatt gsaf
17-Sep,2024,Unprovoked,honduras,daily mail uk: the sun uk:  the world watch
16-Sep,2024,Unprovoked,morocco,andy currie: moroccan world news: sky news
26-Aug,2024,Unprovoked,jamaica,todd smith: daily mail uk: sky news: people .com
06-Aug,2024,Unprovoked,belize,kevin mcmurray tracking sharks.com new york post: abc news: the independent:
23-Jul,2024,Unprovoked,australia,nine.com.au: abc.net.au johannes marchand
18-Jul,2024,Unprovoked,australia,daily mail: sky news: the west australian
08-Jul,2024,Unprovoked,usa,miami herald
08-Jul,2024,Unprovoked,australia,bob myatt: simon demarchi: abc news
05-Jul,2024,Unprovoked,usa,sacbee fox 35
04-Jul,2024,Unprovoked,usa,nbcdfw
04-Jul,2026,Unprovoked,usa,valley central
04-Jul,2025,Unprovoked,usa,cnn
04-Jul,2024,Unprovoked,usa,click orlando news journal on line
04-Jul,2024,Unprovoked,usa,brietbart .com
23-Jun,2024,Unprovoked,usa,cbc news:  sky news: bbc news
07-Jun,2024,Unprovoked,usa,newsweek.com: spectrunnews: hawaiinewsnow:
07-Jun,2024,Unprovoked,usa,nwfdailynews:wdhn.com
07-Jun,2024,Unprovoked,usa,nwfdailynews:wdhn.com
02-Jun,2024,Unprovoked,usa,abc news san diego: del mar times:
02-Jun,2024,Unprovoked,maldive islands,www.raajjee.mv: www.edition.mv: www.avas.mv:
28-May,2024,Unprovoked,usa,abc news: fox 26 houston:
24-May,2024,Unprovoked,turks and caicos,cbc news: ctv news atlantic: national post:
23-May,2024,Unprovoked,french polynesia,ladbible
02-May,2024,Unprovoked,usa,post and courier: fox news: five live news:
26-Apr,2024,Unprovoked,tobago,sky news: the guardian:
26-Apr,2024,Unprovoked,bahamas,usa today: the independent: abc news
20-Apr,2024,Unprovoked,australia,abc news australia: sky news:
20-Apr,2024,Unprovoked,australia,abc news: w.a. today: the west australian: 7 news:
08-Apr,2024,Unprovoked,maldive islands,"unn.ua news, kyiv"
15-Mar,2024,Unprovoked,australia,"yahoo news, 3/15/2024"
04-Mar,2024,Unprovoked,usa,"surfer, 3/6/2024f"
02-Mar,2024,Unprovoked,usa,"hawaii news now, 3/4/2024"
25-Feb,2024,Unprovoked,australia,"wa today, 2/26/2024"
14-Feb,2024,Unprovoked,india,"times of india, 2/14/2024"
04-Feb,2024,Provoked,trinidad,"trinidad guardian, 2/11/2014"
29-Jan,2024,Unprovoked,australia,"nine news, 12/31/2024"
15-Jan,2024,Unprovoked,bahamas,"caribbean loop news, 1/15;2024"
09-Jan,2024,Unprovoked,australia,"a. currie, gsaf"
05-Jan,2024,Provoked,south africa,jacaranda fm. 12/6/2024
30-Dec,2023,Unprovoked,usa,"surfer, 12/31/2023"
29-Dec,2023,Unprovoked,mexico,"euroeseuro, 12/31/2023"
28-Dec,2023,Unprovoked,australia,"s. demarchi, gsaf"
25-Dec,2023,Unprovoked,australia,"9 news, 12/26/2023"
24-Dec,2023,Unprovoked,australia,"9 news, 12/25/2023"
18-Dec,2023,Unprovoked,new zealand,"nz herald,  12/18/2023"
14-Dec,2023,Unconfirmed,mexico,"el pais, 12/15/2023"
14-Dec,2023,Unconfirmed,mexico,"el pais, 12/15/2023"
08-Dec,2023,Unprovoked,australia,"b. myatt, gsaf"
04-Dec,2023,Unprovoked,bahamas,"nbc news, 12/4/2023"
02-Dec,2023,Unprovoked,mexico,"news channel 21, 12/3.2023"
30-Nov,2023,Unprovoked,australia,"abc net, 11/30/2023"
21-Nov,2023,Unprovoked,bahamas,"eye witness news, 11/22/2023"
10-Nov,2023,Unprovoked,australia,s. demarchi. gsaf
05-Nov,2023,Unprovoked,usa,"abc, 11/15/2023"
03-Nov,2023,Unprovoked,australia,"daily mail, 11/3/2023"
02-Nov,2023,Unprovoked,new zealand,"nz herald, 11/2/2023"
Unknown,2023,Unconfirmed,egypt,"daily mail, 11/2/2023"
31-Oct,2023,Unprovoked,australia,s. demarchi. gsaf
25-Oct,2023,Unprovoked,usa,"surfer, 10/25/2023"
23-Oct,2023,Provoked,mexico,tyt newsroom. 10/26/2023
21-Oct,2023,Watercraft,australia,abc. 10/22/2023
20-Oct,2023,Unprovoked,belize,c. dinkel
15-Oct,2023,Unprovoked,usa,"kaua'i now, 10/15/2023"
13-Oct,2023,Unprovoked,usa,"r. collier, gsaf"
02-Oct,2023,Unprovoked,usa,"the beat of hawaii, 10/2/2023"
01-Oct,2023,Unprovoked,australia,"b. myatt, gsaf"
01-Oct,2023,Unprovoked,usa,"sf chronicle, 10/10/2023"
18-Sep,2023,Unprovoked,usa,"c. creswell, gsaf"
13-Sep,2023,Unprovoked,egypt,m. maaty
12-Sep,2023,Unconfirmed,usa,"daytona beach news journal, 9/13/2023"
11-Sep,2023,Unprovoked,usa,"fox 35,9/12/2-23"
09-Sep,2023,Unprovoked,philippines,"manila bulletin, 9 /10/2023"
Unknown,2023,Watercraft,coral sea,"b. myatt, gsaf"
04-Sep,2023,Unprovoked,usa,"click orlando, 9/4/2023"
04-Sep,2023,Unprovoked,usa,"click orlando, 9/4/2023"
25-Aug,2023,Unprovoked,australia,"b. myatt, & m. michaelson, gsaf"
23-Aug,2023,Unprovoked,usa,"c. creswell, gsaf"
22-Aug,2023,Watercraft,usa,"msn, 8/22/2023"
21-Aug,2023,Unconfirmed,bahamas,"the tribune, 8/21/2023"
16-Aug,2023,Unprovoked,spain,las provincias
16-Aug,2023,Provoked,portugal,"portugese resident, 8/17/2023"
12-Aug,2023,Unprovoked,samoa,"samoa news,8/15/2023"
07-Aug,2023,Unprovoked,usa,".s. curatolo- wagemann, gsaff"
31-Jul,2023,Unprovoked,usa,"fox35, 7/31/2023"
30-Jul,2023,Unprovoked,usa,"r. babington, gsaf"
29-Jul,2023,Unprovoked,usa,"fox12, 8/1/2023"
24-Jul,2023,Unprovoked,australia,"b. myatt, gsaf"
22-Jul,2023,Unprovoked,australia,"b. myatt, gsaf"
21-Jul,2023,Unprovoked,usa,"c. creswell, gsaf"
18-Jul,2023,Unprovoked,colombia,"la patria, 7/20/2023"
15-Jul,2023,Unprovoked,usa,"fox35, 7/15/2023"
14-Jul,2023,Unprovoked,usa,"wesh2, 7/14/2023"
Unknown,2023,Watercraft,south africa,"ladbible, 7/14/2023"
04-Jul,2023,Unprovoked,ecuador,"t. smith, gsaf"
04-Jul,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff"
04-Jul,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff"
04-Jul,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff"
03-Jul,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff"
03-Jul,2023,Unprovoked,usa,"s.s. curatolo- wagemann, gsaff"
23-Jun,2023,Unprovoked,usa,"fox 35, 6/29/2023"
23-Jun,2023,Unprovoked,usa,"south florida sun sentinel, 6/23/2023"
Unknown,2023,Unprovoked,usa,"bbc, 6/14/2023"
08-Jun,2023,Unprovoked,egypt,"m. michaelson, et al,gsa"
