Date,Year,Type,Country,Source
04-Apr,2010,Unprovoked,egypt,"j. elliott; blackpool gazette, 4/16/2010"
Unknown,2010,Unprovoked,reunion,"c. ekstander, gsaf"
Unknown,2010,Unprovoked,new zealand,"nelson mail, 2/23/2010"
16-Feb,2010,Unprovoked,south africa,"die burger, 2/18/2010"
15-Feb,2010,Unprovoked,fiji,"fiji times, 2/17/2010"
13-Feb,2010,Unprovoked,australia,"sydney morning herald, 2/14/2010"
11-Feb,2010,Unprovoked,australia,"john west,       taronga zoo"
Unknown,2010,Provoked,new zealand,"southland times, 2/6/2010"
06-Feb,2010,Unprovoked,australia,"k. matthews, lismore northern star, 2/10/2010"
06-Feb,2010,Provoked,usa,"wptv.com, 2/7/2010"
04-Feb,2010,Invalid,guam,"b. kelman, pacific daily news, 2/9/2010"
03-Feb,2010,Unprovoked,usa,"tc palm, 2/3/2010"
01-Feb,2010,Provoked,new zealand,"r.d. weeks, gsaf;   k. ritchie, abc news, 2/1/2010"
31-Jan,2010,Unprovoked,brazil,"c. eksander, gsaf"
27-Jan,2010,Unprovoked,australia,"c. ekstander, gsaf; bundberg news-mail, 1/29/2010"
22-Jan,2010,Unprovoked,united arab emirates,"c. eksander, gsaf"
22-Jan,2010,Unprovoked,australia,"c. dickens, geelong advertiser, 1/25/2010"
12-Jan,2010,Unprovoked,south africa,"l. cohen, times live, 1/12/2010"
09-Jan,2010,Unprovoked,australia,"courier-mail, 1/10/2009"
09-Jan,2010,Unprovoked,vietnam,"c. eksander, gsaf"
09-Jan,2010,Unprovoked,vietnam,"c. eksander, gsaf"
09-Jan,2010,Unprovoked,vietnam,"c. eksander, gsaf"
06-Jan,2010,Unprovoked,usa,"wsvn-tv, 1/7/2010"
05-Jan,2010,Unprovoked,south africa,"c. eksander, gsaf"
29-Dec,2009,Unprovoked,south africa,"news24.com, 12/31/2009"
26-Dec,2009,Provoked,australia,"express advocate, 12/26/2009"
22-Dec,2009,Unprovoked,mozambique,"beeld, 12/29/2009"
20-Dec,2009,Watercraft,australia,"c. eksander, gsaf"
20-Dec,2009,Unprovoked,australia,"brisbane times, 12/20/2009"
18-Dec,2009,Unprovoked,south africa,"b. jordan & a. ferreira, times live, 12/21/2009"
18-Dec,2009,Invalid,south africa,"m. addison, c. eckstander, gsaf"
16-Dec,2009,Unprovoked,new zealand,"r.d. weeks, gsaf"
13-Dec,2009,Unprovoked,australia,"northern star, 12/14/2009"
12-Dec,2009,Watercraft,australia,"herald sun, 12/13/2009"
05-Dec,2009,Provoked,usa,"r. large; philadelphia daily news, 4/22/2010"
25-Nov,2009,Invalid,usa,"r. collier, gsaf"
24-Nov,2009,Unprovoked,usa,my fox orlando
16-Nov,2009,Unprovoked,usa,"r. collier, gsaf"
16-Nov,2009,Unprovoked,usa,"a. pefley, channel 12 news"
13-Nov,2009,Unprovoked,usa,"c. scofield, wptv.com"
11-Nov,2009,Unprovoked,usa,captain s. petersohn
08-Nov,2009,Unprovoked,australia,"adelaide now, 11/19/2009"
05-Nov,2009,Unprovoked,usa,r. collier
30-Oct,2009,Watercraft,australia,"the age, 10/31/2009"
Unknown,2009,Unprovoked,mozambique,r. allen; j. little
28-Oct,2009,Unprovoked,australia,"northern star, 10/30/2009"
24-Oct,2009,Unprovoked,usa,r. collier
19-Oct,2009,Unprovoked,usa,"star bulletin, 10/19/2009"
18-Oct,2009,Unprovoked,panama,a. blaker
17-Oct,2009,Provoked,scotland,"telegraph.co.uk, 10/18/2009"
Unknown,2009,Unprovoked,australia,"bbc news, 10/19/2009"
09-Oct,2009,Unprovoked,usa,r. collier
02-Oct,2009,Provoked,united kingdom,"the herald, 10/2/2009"
26-Sep,2009,Unprovoked,usa,keysnet.com
18-Sep,2009,Unprovoked,vietnam,"h. trong &                 u. phuong,.saigon daily, 1/13/2010"
15-Sep,2009,Provoked,somalia,"smcm, 9/20/2009"
13-Sep,2009,Provoked,brazil,"c. ekstander, gsaf"
12-Sep,2009,Invalid,usa,"c. creswell, gsaf"
07-Sep,2009,Unprovoked,brazil,"c. eksander, gsaf"
02-Sep,2009,Invalid,nevis,dr. c. jacobs; j. daniel
01-Sep,2009,Provoked,solomon islands,"solomon star, 9/4/2009"
30-Aug,2009,Unprovoked,usa,"r. collier, gsaf"
29-Aug,2009,Unprovoked,south africa,"cape argus, 8/30/2009, p.1"
25-Aug,2009,Unprovoked,usa,"r. collier, gsaf"
11-Aug,2009,Unprovoked,south africa,zululand observer
10-Aug,2009,Unprovoked,usa,s. petersohn
06-Aug,2009,Unprovoked,usa,"big island weekly, 8/19/2009"
01-Aug,2009,Unprovoked,usa,clarion ledger
31-Jul,2009,Unprovoked,bahamas,wptv.com
30-Jul,2009,Unprovoked,australia,"lismore northern star, 7/31/2009"
29-Jul,2009,Unprovoked,vietnam,"candonline, 1/15/2020"
Unknown,2009,Unprovoked,kenya,"standard digital, 7/24/2009"
24-Jul,2009,Unprovoked,usa,krgv.com
24-Jul,2009,Invalid,spain,"abc-spain, 7/25/2009"
22-Jul,2009,Unprovoked,usa,"c. creswell, gsaf"
22-Jul,2009,Unprovoked,usa,"j. eager; r. reyes, tampa tribune, 7/22/2009"
18-Jul,2009,Unprovoked,vietnam,"c. eksander, gsaf"
11-Jul,2009,Provoked,bahamas,"fox news, 7/14/2009"
11-Jul,2009,Unprovoked,usa,r. collier
07-Jul,2009,Unprovoked,south africa,"weekend post, 7/8/2009"
05-Jul,2009,Unprovoked,usa,s. petersohn
04-Jul,2009,Provoked,usa,"miami herald, 7//4/2009"
27-Jun,2009,Unprovoked,australia,"brisbane times, 6/28/2009"
21-Jun,2009,Invalid,usa,"san luis obispo tribune, 6/24/2009"
16-Jun,2009,Invalid,usa,"florida today, 1/17/2009"
Unknown,2009,Provoked,vietnam,"tin tuc online, 6/14/2009"
02-Jun,2009,Unprovoked,egypt,"e. ritter, gsaf"
02-Jun,2009,Unprovoked,egypt,"e. ritter, gsaf"
01-Jun,2009,Unprovoked,egypt,"a. hamada; e.ritter, gsaf"
31-May,2009,Provoked,taiwan,"taiwan news, 5/21/09"
25-May,2009,Provoked,usa,"tampa bay online, 5/26/2009"
17-May,2009,Unprovoked,usa,"s. petersohn, gsaf"
16-May,2009,Unprovoked,usa,"s. petersohn, gsaf"
16-May,2009,Unprovoked,usa,"s. petersohn, gsaf"
12-May,2009,Provoked,guam,"n. delgado, pacific news center; kuam.com"
06-Mar,2009,Provoked,bahamas,"sun sentinel, 5/8/2009"
28-Apr,2009,Unprovoked,usa,unknown
Unknown,2009,Unprovoked,usa,"r. collier, gsaf"
21-Apr,2009,Unprovoked,usa,"s. petersohn, gsaf"
20-Apr,2009,Unprovoked,philippines,"abs-cbnnews.com, 4/22/2009"
19-Apr,2009,Unprovoked,usa,"upi, 4/20/2009"
17-Apr,2009,Unprovoked,usa,"tc palm, 4/17/09"
11-Apr,2009,Invalid,usa,"cbs, 4/14/2009"
12-Apr,2009,Unprovoked,australia,"port stephens examiner, 4/15/2009"
06-Apr,2009,Invalid,south africa,"daily dispatch, 4/10/2009"
06-Apr,2009,Unprovoked,usa,r. collier
03-Apr,2009,Unprovoked,usa,"cape coral news, 4/3/2009"
27-Mar,2009,Provoked,south africa,"the herald (port elizabeth), 3/27/2007"
21-Mar,2009,Unprovoked,south africa,"daily dispatch, 3/22/2009"
20-Mar,2009,Unprovoked,australia,"madurah mail, 3/26/2009"
19-Mar,2009,Unprovoked,australia,"abc news, 3/19/2009"
19-Mar,2009,Unprovoked,australia,"canberra times, 3/20/2009"
18-Mar,2009,Unprovoked,usa,"s. petersohn, gsaf"
Unknown,2009,Unprovoked,malaysia,"c. johansson, gsaf"
17-Mar,2009,Unprovoked,usa,"b. perry, maui news, 3/18/2009"
Unknown,2009,Provoked,australia,"the west, 3/16/2009"
06-Mar,2009,Unprovoked,new caledonia,"les nouvelles caledoniennes, 3/7-10/2009"
02-Mar,2009,Provoked,south africa,"cape times, 3/3/2009"
01-Mar,2009,Watercraft,new zealand,"taranaki daily news, 3/3/2009"
01-Mar,2009,Unprovoked,australia,"sunday telegraph, 3/1/2009"
22-Feb,2009,Unprovoked,australia,"the australian, 2/22/2009"
18-Feb,2009,Unprovoked,australia,"daily telegraph, 2/24/2009"
12-Feb,2009,Unprovoked,australia,the sydney morning herald 2/24/2009
11-Feb,2009,Unprovoked,australia,"abc news, 2/11/2009"
08-Feb,2009,Sea Disaster,usa,"c. ekstander, gsaf"
07-Feb,2009,Unprovoked,australia,"d. keg; herald sun, 2/8/2009"
07-Feb,2009,Unprovoked,australia,"a. vlastaras, daily examiner, 3/9/2009"
Unknown,2009,Provoked,azores,"c. johansson, gsaf"
Unknown,2009,Invalid,brazil,"jornal pequeno, 1/26/2009"
25-Jan,2009,Unprovoked,cuba,"j. emory; caribbean net,  4/142009"
24-Jan,2009,Watercraft,new zealand,"nz herald, 1/26/2009"
24-Jan,2009,Unprovoked,australia,"abc news, 1/28/2009"
24-Jan,2009,Unprovoked,south africa,"daily dispatch, 1/26/2009"
23-Jan,2009,Invalid,brazil,"jornal pequeno, 1/26/2009"
18-Jan,2009,Watercraft,australia,"the standard, 1/20/2009"
16-Jan,2009,Unprovoked,new zealand,"r. weeks, gsaf"
Unknown,2009,Unprovoked,south africa,"abc news, 1/13/2009"
12-Jan,2009,Unprovoked,australia,"t. peake, gsaf"
11-Jan,2009,Unprovoked,australia,"p. kemp, gsaf; c. black pp. 169-177"
11-Jan,2009,Unprovoked,australia,"t. peake, gsaf"
Unknown,2009,Watercraft,new zealand,"new zealand herald, 1/10/2009"
10-Jan,2009,Unprovoked,ecuador,"c. johansson, gsaf"
06-Jan,2009,Unprovoked,new zealand,"r. weeks, gsaf"
Unknown,2009,Unprovoked,cuba,"c. johansson, gsaf"
30-Dec,2008,Invalid,australia,"ninemsn, 12/30/2008"
27-Dec,2008,Watercraft,australia,"sydney morning herald, 12/28/2008"
27-Dec,2008,Unprovoked,australia,"t. peake, gsaf"
27-Dec,2008,Watercraft,australia,"canberra times, 12/28/2008"
27-Dec,2008,Unprovoked,australia,"t. peake, gsaf"
20-Dec,2008,Watercraft,usa,r. collier
14-Dec,2008,Unprovoked,new zealand,"r.d. weeks, gsaf"
10-Dec,2008,Provoked,south africa,"the herald, 12/12/2008"
06-Dec,2008,Watercraft,australia,s. chenhall
Unknown,2008,Unprovoked,mozambique,j. little
28-Nov,2008,Unprovoked,egypt,"e. ritter, gsaf"
25-Nov,2008,Sea Disaster,philippines,"c. johansson, gsaf"
24-Nov,2008,Unprovoked,ecuador,ecuadorinmediato.com
09-Nov,2008,Watercraft,australia,"c. johansson, gsaf"
09-Nov,2008,Sea Disaster,taiwan,"reuters, 11/10/2008"
06-Nov,2008,Unprovoked,philippines,"sun star, 11/08/2008"
22-Oct,2008,Provoked,australia,"herald, 10/22/2008"
21-Oct,2008,Unprovoked,new caledonia,"c. johansson, gsaf"
12-Oct,2008,Provoked,australia,"northern territory news, 10/14/2008"
11-Oct,2008,Unprovoked,australia,"herald, 10/12/2008"
08-Oct,2008,Unprovoked,usa,"l. garlngton, memphis commercial appeal, 10/9/2008"
06-Oct,2008,Unprovoked,croatia,a. de maddalena
28-Sep,2008,Unprovoked,usa,s. petersohn
28-Sep,2008,Unprovoked,usa,s. petersohn
15-Sep,2008,Provoked,australia,"northern territory news, 9/18/2008"
14-Sep,2008,Unprovoked,usa,s. petersohn
09-Sep,2008,Unprovoked,usa,"honolulu advertiser, 9/10/08"
08-Sep,2008,Unprovoked,usa,r. collier
07-Sep,2008,Unprovoked,australia,"mailonline.com, 9/8/2008"
06-Sep,2008,Unprovoked,usa,"s. petersohn, gsaf"
06-Sep,2008,Unprovoked,usa,"s. petersohn, gsaf"
01-Sep,2008,Unprovoked,usa,j. mcgauley
Unknown,2008,Unprovoked,usa,"c. johannson, gsaf"
30-Aug,2008,Unprovoked,australia,"c. johansson, gsaf"
30-Aug,2008,Invalid,usa,"d. nakaso, honolulu advertiser, 8/31/2008"
30-Aug,2008,Provoked,england,"telegraph.co.uk, 9/1/2008"
28-Aug,2008,Unprovoked,usa,"s. petersohn, gsaf"
27-Aug,2008,Unprovoked,usa,"s. petersohn, gsaf"
24-Aug,2008,Unprovoked,usa,"s. petersohn, gsaf"
24-Aug,2008,Invalid,usa,"c. creswell, gsaf"
20-Aug,2008,Unprovoked,usa,news-press.com
18-Aug,2008,Invalid,usa,c. creswell
16-Aug,2008,Unprovoked,usa,"m. levne, gsaf"
12-Aug,2008,Unprovoked,usa,"s. petersohn, gsaf"
11-Aug,2008,Unprovoked,usa,"honolulu advertiser, 8/13/2008"
30-Jul,2008,Unprovoked,australia,"herald sun, 7/31/2008"
Unknown,2008,Unprovoked,south africa,http://www.youtube.com/watch?v=0jvjfxlapwy&feature=related
27-Jul,2008,Unprovoked,panama,"international herald tribune, 7/28/2008"
26-Jul,2008,Unprovoked,mexico,"fox news, 7/28/2008"
26-Jul,2008,Unprovoked,usa,"maui news, 7/27/2008"
25-Jul,2008,Unprovoked,usa,"s. petersohn, gsaf"
25-Jul,2008,Unprovoked,usa,"honolulu star bulletin, 7/26/2008"
24-Jul,2008,Unprovoked,usa,"c. creswell, gsaf"
24-Jul,2008,Unprovoked,usa,"c. creswell, gsaf"
23-Jul,2008,Provoked,usa,"s. petersohn, gsaf"
19-Jul,2008,Unprovoked,usa,"s. petersohn, gsaf"
18-Jul,2008,Unprovoked,egypt,ocean7
13-Jul,2008,Invalid,usa,"c. creswell, gsaf"
11-Jul,2008,Unprovoked,usa,"c. creswell, gsaf"
09-Jul,2008,Unprovoked,usa,"c. creswell, gsaf"
05-Jul,2008,Unprovoked,usa,"c. creswell, gsaf"
Unknown,2008,Watercraft,united kingdom,"hastings observer, 8/1/2008"
28-Jun,2008,Invalid,usa,"honolulu star bulletin, 6/30/2008"
28-Jun,2008,Unprovoked,bahamas,"m. briggs; c. johansson, gsaf"
28-Jun,2008,Unprovoked,south africa,unknown
Unknown,2008,Unprovoked,south africa,d. inggs; gletwyn rubidge’s spearfishing and freediving blog
26-Jun,2008,Unprovoked,usa,s. petersohn
26-Jun,2008,Unprovoked,usa,"p. pearman;               c. creswell, gsaf"
24-Jun,2008,Unprovoked,brazil,"o globo, 6/25/2008"
21-Jun,2008,Watercraft,usa,"r. collier, gsaf"
20-Jun,2008,Unprovoked,usa,"news-leader, 6/21/2008"
11-Jun,2008,Unprovoked,brazil,"o globo, 6/12/2008"
07-Jun,2008,Unprovoked,usa,"tc palm, 6/20/08"
Unknown,2008,Watercraft,scotland,"c. johansson, gsaf"
01-Jun,2008,Unprovoked,usa,"c. creswell, gsaf"
01-Jun,2008,Unprovoked,brazil,associated press
26-May,2008,Unprovoked,usa,"c. creswell, gsaf"
24-May,2008,Sea Disaster,bahamas,associated press
24-May,2008,Unprovoked,mexico,associated press
23-May,2008,Unprovoked,mexico,reuters
14-May,2008,Unprovoked,fiji,"fiji times, 5/15/2008"
10-May,2008,Unprovoked,australia,"perth now, 5/10/2008"
07-May,2008,Unprovoked,new caledonia,"c. johansson, gsaf"
07-May,2008,Unprovoked,usa,"m. johnson, daytona news-journal, 5/8/2008; s. petersohn"
01-May,2008,Provoked,south africa,national sea rescue institute
28-Apr,2008,Unprovoked,mexico,surfline.com
28-Apr,2008,Unprovoked,usa,s. petersohn
27-Apr,2008,Unprovoked,usa,s. petersohn
26-Apr,2008,Unprovoked,new caledonia,"les nouvelles calédonie, 4/28/2008 & 4/29/2008"
26-Apr,2008,Provoked,usa,s. petersohn
25-Apr,2008,Unprovoked,usa,r. collier
20-Apr,2008,Unprovoked,usa,"s. petersohn, gsaf"
20-Apr,2008,Unprovoked,australia,"t. peake, gsaf"
Unknown,2008,Invalid,south africa,j. avenier
18-Apr,2008,Invalid,mexico,c.johansson
17-Apr,2008,Invalid,australia,"c. johansson, gsaf"
15-Apr,2008,Unprovoked,usa,b. phillips
Unknown,2008,Unprovoked,fiji,"c. johansson, gsaf; orange county register 4/9/2009"
25-Mar,2008,Unprovoked,usa,"the plain dealer, 4/1/2008"
Unknown,2008,Unprovoked,usa,"news 13,4/8/2008"
08-Apr,2008,Unprovoked,australia,"t. peake, gsaf; nsw police force"
03-Apr,2008,Unprovoked,usa,"s. petersohn, gsaf"
28-Mar,2008,Unprovoked,south africa,"c. johansson, gsaf"
28-Mar,2008,Unprovoked,usa,"s. petersohn, gsaf"
28-Mar,2008,Unprovoked,usa,"d. macannally, eyewitness news"
23-Mar,2008,Unprovoked,usa,"s. petersohn, gsaf"
21-Mar,2008,Unprovoked,usa,"s. petersohn, gsaf"
15-Mar,2008,Unprovoked,usa,news-press.com
07-Mar,2008,Unprovoked,usa,r. collier
24-Feb,2008,Unprovoked,bahamas,"sun-sentinel, 2/25/2008"
Unknown,2008,Unprovoked,french polynesia,"independent news online, 2/21/2008"
15-Feb,2008,Unprovoked,usa,"s. petersohn, gsaf"
07-Feb,2008,Unprovoked,australia,"t. peake, gsaf"
06-Feb,2008,Unprovoked,usa,"vero beach press journal, 2/7/2008"
Unknown,2008,Provoked,japan,l compagno
29-Jan,2008,Unprovoked,south africa,"the mercury, 2/1/2008"
27-Jan,2008,Provoked,australia,news.com.au
Unknown,2008,Invalid,new zealand,"r.d. weeks, gsaf"
14-Jan,2008,Watercraft,new zealand,"tv3; r.d. weeks, gsaf"
10-Jan,2008,Unprovoked,usa,"forida today, 1/18/2008; channel 9 news"
Unknown,2008,Provoked,usa,extremecoast.com/ 1/30/2009
Unknown,2008,Unprovoked,mexico,"san diego reader, 1/7/2009"
21-Dec,2007,Unprovoked,ecuador,"r. d. weeks, gsaf; radio new zealand"
19-Dec,2007,Invalid,british virgin islands,"c. johannson, gsaf"
18-Dec,2007,Unprovoked,australia,"daily telegraph, 12/18/2007"
15-Dec,2007,Unprovoked,australia,goldcoast.com.au
14-Dec,2007,Invalid,australia,"sydney morning herald, 12/16/2007"
10-Dec,2007,Unprovoked,usa,"honolulu advertiser, 12/12/2007"
09-Dec,2007,Unprovoked,new zealand,"nz herald, 12/11/2007"
07-Dec,2007,Unprovoked,brazil,"jc online, 12/8/2007"
18-Nov,2007,Provoked,australia,"thewest.com.au, 11/19/2007"
08-Nov,2007,Unprovoked,australia,"northern star, 11/10/2007"
07-Nov,2007,Unprovoked,south africa,"the times (cape town), 11/9/2007"
06-Nov,2007,Unprovoked,usa,"s. petersohn; gsaf' central florida news, 11/7/2006"
04-Nov,2007,Unprovoked,usa,"t.c. palm, 11/4/2007 & 11/5/2007"
03-Nov,2007,Unprovoked,south africa,daily dispatch
Unknown,2007,Invalid,mexico,today show
29-Oct,2007,Unprovoked,usa,khnl8.com
15-Oct,2007,Unprovoked,australia,"sydney morning herald, 10/15/2007"
13-Oct,2007,Unprovoked,australia,"news.com.au, 10/14/2007"
07-Oct,2007,Unprovoked,usa,r. collier
06-Oct,2007,Unprovoked,usa,e. h.
30-Sep,2007,Unprovoked,usa,r. collier
30-Sep,2007,Sea Disaster,philippines,"cebu daily news, 10/3/2007"
30-Sep,2007,Unprovoked,new caledonia,e. clua  & b. seret
28-Sep,2007,Unprovoked,bahamas,"a. brenneka, sharkattacksurvivors.com"
27-Sep,2007,Unprovoked,usa,r. collier
27-Sep,2007,Unprovoked,egypt,"e. ritter & y. sobolev, gsaf; m. salem"
22-Sep,2007,Invalid,usa,"florida today, 12/14/2007"
22-Sep,2007,Unprovoked,usa,"r.duffy, first coast news. 9/23/2007"
20-Sep,2007,Unprovoked,usa,"s. petersohn, gsaf"
17-Sep,2007,Unprovoked,solomon islands,l. choquette
16-Sep,2007,Unprovoked,usa,"s. petersohn, gsaf"
16-Sep,2007,Unprovoked,usa,wsbtv.com
13-Sep,2007,Unprovoked,usa,"miami herald, 9/13/2007; sun-sentinel, 9/14/2007"
08-Sep,2007,Unprovoked,usa,"first coast news, 9/11/2007"
05-Sep,2007,Unprovoked,usa,"s. petersohn, gsaf"
04-Sep,2007,Unprovoked,usa,"c. creswell, gsaf; j. johnson, post and courier, 9/26/2007"
03-Sep,2007,Unprovoked,usa,"s. petersohn, gsaf"
03-Sep,2007,Unprovoked,usa,"s. wyman, sun-sentinel, 9/3/2007; local10.com"
28-Aug,2007,Unprovoked,usa,"honolulu advertiser, 8/29/2007"
28-Aug,2007,Unprovoked,usa,r. collier
26-Aug,2007,Unprovoked,usa,"s. petersohn, gsaf"
25-Aug,2007,Unprovoked,usa,"s. petersohn, gsaf; wesh 2 news"
22-Aug,2007,Provoked,usa,"clay creswell, gsaf; wect tv6"
20-Aug,2007,Provoked,usa,"delaware coast press, 8/24/2007"
19-Aug,2007,Unprovoked,usa,"miami herald, 8/20/2007"
19-Aug,2007,Unprovoked,usa,"s. petersohn, gsaf"
19-Aug,2007,Unprovoked,usa,"c. creswell, gsaf"
15-Aug,2007,Unprovoked,usa,"charlotte observer, 8/18/2007"
12-Aug,2007,Unprovoked,usa,"s. petersohn, gsaf"
11-Aug,2007,Unprovoked,usa,"s. petersohn, gsaf"
09-Aug,2007,Unprovoked,usa,"c. creswell, gsaf"
09-Aug,2007,Unprovoked,usa,"c. creswell, gsaf"
07-Aug,2007,Unprovoked,usa,"miami herald, 8/8/2007"
29-Jul,2007,Unprovoked,usa,"s. petersohn, gsaf"
28-Jul,2007,Unprovoked,usa,r. collier
22-Jul,2007,Unprovoked,usa,r. collier
21-Jul,2007,Watercraft,usa,"r. collier; san francisco chronicle, 7/23/2007; norcal kayak anglers"
19-Jul,2007,Unprovoked,usa,"honolulu advertiser, 7/20/2007; honolulu star bulletin, 7/20/2007"
19-Jul,2007,Unprovoked,australia,"the western australian, 7/20/2007"
18-Jul,2007,Unprovoked,usa,"c. creswell, gsaf"
18-Jul,2007,Provoked,norway,"aftenposten, 7/18/2007"
17-Jul,2007,Invalid,usa,r. collier
17-Jul,2007,Unprovoked,usa,"c. creswell, gsaf"
10-Jul,2007,Unprovoked,bahamas,j. regan
05-Jul,2007,Unprovoked,usa,"s. petersohn, gsaf"
04-Jul,2007,Unprovoked,reunion,"clicanoo.com, 7/5/2007"
Unknown,2007,Invalid,senegal,"daily guide, 8/20/2007"
30-Jun,2007,Provoked,usa,s. gruber; sharkattacksurvivors.com
30-Jun,2007,Unprovoked,usa,r. collier
25-Jun,2007,Unprovoked,usa,"s. petersohn, gsaf"
24-Jun,2007,Unprovoked,usa,"g. lee, kgmb9.com"
17-Jun,2007,Invalid,usa,"st augustine record, 6/19/2007"
12-Jun,2007,Unprovoked,usa,"r.b. hackney, sun-sentinel, 7/13/2007"
05-Jun,2007,Unprovoked,australia,"s. williams, daily telegraph, 6/7/2007"
26-May,2007,Unprovoked,usa,"c. creswell, gsaf; hilton head island packet, 5/27/2007"
24-May,2007,Provoked,usa,wavy-tv10-news
Unknown,2007,Provoked,england,"v. wheeler, the sun, 5/17/2007"
16-May,2007,Unprovoked,australia,"the western australian, 5/16/2007"
12-May,2007,Unprovoked,australia,"the standard, 5/15/2007"
10-May,2007,Unprovoked,usa,j. manis
Unknown,2007,Unprovoked,seychelles,seychelles forum
08-May,2007,Invalid,australia,"ninemsnews, 5/10/2007"
07-May,2007,Unprovoked,usa,"g. kubota, honolulu star bulletin, 5/8/2007"
07-May,2007,Unprovoked,usa,"naples news, 5/10/2007"
04-May,2007,Sea Disaster,turks & caicos,cnn
Unknown,2007,Provoked,bahamas,s. garcia
26-Apr,2007,Unprovoked,australia,"news.com.au, 4/29/2007"
22-Apr,2007,Unprovoked,usa,"sun-sentinel, 4/23/2007"
20-Apr,2007,Unprovoked,usa,"florida today, 4/21/2007"
Unknown,2007,Watercraft,usa,"florida today, 4/13/2007; a. brenneka"
09-Apr,2007,Unprovoked,new caledonia,"les nouvelles calédoniennes, 4/11/2007"
01-Apr,2007,Unprovoked,usa,"s. petersohn, gsaf; wesh 2, 4/1/2007; local6news.com, 4/3/2007"
31-Mar,2007,Unprovoked,usa,"palm beach post, 3/31/2007; sun sentinel, 4/3/2007"
31-Mar,2007,Unprovoked,usa,"palm beach post, 3/31/2007"
22-Mar,2007,Unprovoked,yemen,"united nations high commission for refugees, 3/26/2007"
21-Mar,2007,Unprovoked,usa,"tcpalm, 3/23/2007"
20-Mar,2007,Unprovoked,australia,"gold coast bulletin, 3/21/2007"
Unknown,2007,Provoked,usa,associated press
12-Mar,2007,Unprovoked,australia,abc news online
11-Mar,2007,Unprovoked,usa,"j. ashton, t.c. palm, 3/12/2007"
Unknown,2007,Provoked,new zealand,"r. weeks, gsaf"
04-Feb,2007,Invalid,costa rica,"the argus, 3/2/2007"
03-Feb,2007,Unprovoked,australia,"p. immerz, sharkproject; p. kemp, gsaf"
Unknown,2007,Unprovoked,new caledonia,"les nouvelles caledoniennes,"
25-Jan,2007,Unprovoked,new caledonia,"les nouvelles caledoniennes, 1/29/2007"
25-Jan,2007,Watercraft,usa,"p. morales, news-press, 2/5/2007"
23-Jan,2007,Unprovoked,australia,"nz herald, 1/23/2007"
19-Jan,2007,Invalid,australia,"northern star, 1/24/2007"
14-Jan,2007,Unprovoked,south africa,"g. cliff, natal sharks board; east london dispatch, 1/18/2007"
09-Jan,2007,Unprovoked,australia,"j. watson, great lakes your guide"
07-Jan,2007,Invalid,usa,w. brodsky
01-Jan,2007,Unprovoked,usa,"p. immerz, sharkproject.org; j. tenbruggencate, honolulu advertiser, 1/5/2007"
Unknown,2007,Provoked,french polynesia,"usa today, 12/12/2018"
18-Dec,2006,Unprovoked,australia,"p. kemp, gsaf"
11-Dec,2006,Unprovoked,new zealand,"r.d. weeks, gsaf"
10-Dec,2006,Unprovoked,usa,"p. immerz; r. collier; san francisco chronicle, 12/11/2006"
06-Dec,2006,Provoked,south africa,"c. johansson; pretoria news, 12/8/2006"
02-Dec,2006,Unprovoked,australia,"p. kemp, gsaf, sunday mail, 12/3/2006"
25-Nov,2006,Sea Disaster,philippines,"manila bulletin online, 11/27/2006"
11-Nov,2006,Unprovoked,usa,"honolulu advertiser, 11/12/2006; b. nicholson"
09-Nov,2006,Provoked,south africa,"p. immerz, sharkproject"
31-Oct,2006,Unprovoked,usa,r. collier
16-Oct,2006,Unprovoked,usa,"k. kridel, herald tribune, 10/21/2006"
10-Oct,2006,Unprovoked,usa,"s. petersohn, gsaf"
07-Oct,2006,Unprovoked,usa,"m. martinez, kgbt4"
05-Oct,2006,Unprovoked,usa,"s. petersohn, gsaf"
Unknown,2006,Unprovoked,bahamas,"j. lambiet, palm beach post, 10/22/2006"
Unknown,2006,Unprovoked,unknown,"united nations high commission for refugees, 10/20/2006"
30-Sep,2006,Invalid,south africa,"cape argus, 10/2/2006"
29-Sep,2006,Unprovoked,usa,"s. petersohn, gsaf"
Unknown,2006,Provoked,usa,"cbs-4, 9/18/2006"
16-Sep,2006,Unprovoked,usa,"c. creswell, gsaf"
14-Sep,2006,Unprovoked,usa,wftv.com
11-Sep,2006,Unprovoked,usa,"s. petersohn, gsaf"
04-Sep,2006,Invalid,australia,"sydney morning herald, cnn & internet"
03-Sep,2006,Unprovoked,brazil,"jc online, 6/26/2023"
03-Sep,2006,Unprovoked,usa,"s. petersohn, gsaf"
02-Sep,2006,Unprovoked,usa,"s. petersohn, gsaf"
02-Sep,2006,Unprovoked,south africa,"cape times, 9/3/2006"
29-Aug,2006,Unprovoked,usa,"r. collier, gsaf; register-guard, 8/31/2006"
29-Aug,2006,Unprovoked,australia,"p. kemp, gsaf; s. black, the islander, 9/7/2006"
27-Aug,2006,Unprovoked,reunion,"g. vitry; g. holt, scubaradio; clicanoo, 8/28/2006 & 8/29/2006"
22-Aug,2006,Invalid,brazil,jc oline 8/24/2006
22-Aug,2006,Invalid,belize,c. johansson
20-Aug,2006,Sea Disaster,italy,im/lr
20-Aug,2006,Unprovoked,reunion,p. immerz
15-Aug,2006,Unprovoked,south africa,a. brenneka
