Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
surfing,Foot bitten,non-fatal,other,15,Teen,,,,,,
kayaking,"No injury to occupant, shark/s holded  kayak",non-fatal,white shark,,Unknown,,,,,,
kayaking,"No injury to occupant, shark/s holded  kayak",non-fatal,white shark,,Unknown,,,,,,
surfing,Lacerations to knee,non-fatal,other,28,Young Adult,,,,,,
surfing,"Left arm & right hand severed, lacerations to both legs",non-fatal,white shark,23,Young Adult,,,,,,
surfing,Minor injury to left foot,non-fatal,other,,Unknown,,,,,,
fishing,Thumb & finger nipped,non-fatal,other,36,Adult,,,,,,
surfing,"A hoax, no shark involvement",unknown,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,50,Adult,,,,,,
fishing,Leg bitten,non-fatal,bull shark,43,Adult,,,,,,
kayaking,"No injury, shark bit kayak",non-fatal,white shark,,Unknown,,,,,,
fishing,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,non-fatal,other,52,Adult,,,,,,
surfing,Injury to left calf,non-fatal,other,13,Teen,,,,,,
surfing,Lacerations to shin,non-fatal,other,17,Teen,,,,,,
fishing,Lacerations to foot by hooked shark PROVOKED INCIDENT,non-fatal,other,33,Young Adult,,,,,,
swimming,Minor lacerations to posterior lower leg,non-fatal,other,,Unknown,,,,,,
surfing,Laceration to left hand,non-fatal,other,29,Young Adult,,,,,,
fishing,Lacerations to forearm from hooked shark PROVOKED INCIDENT,non-fatal,bull shark,,Unknown,,,,,,
fishing,Lacerations to face and neck,non-fatal,reef shark,31,Young Adult,,,,,,
other,Puncture wounds and lacerations to left thigh and knee,non-fatal,bull shark,,Unknown,,,,,,
fishing,Puncture wounds to right foot and ankle,non-fatal,bull shark,,Unknown,,,,,,
swimming,Puncture wounds to right foot & ankle,non-fatal,other,10,Child,,,,,,
swimming,Minor lacerations to left heel and big toe,non-fatal,bull shark,7,Child,,,,,,
swimming,Lacerations to  foot,non-fatal,other,45,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,,Unknown,,,,,,
surfing,Lower limbs & thigh bitten,non-fatal,white shark,20,Young Adult,,,,,,
swimming,Left foot bitten,non-fatal,tiger shark,,Unknown,,,,,,
surfing,Lacerations to right wrist & calf,non-fatal,other,51,Adult,,,,,,
wading,Minor injury,non-fatal,other,,Unknown,,,,,,
swimming,Lacerations to left foot,non-fatal,other,61,Senior,,,,,,
swimming,Puncture wounds to foot,non-fatal,other,39,Adult,,,,,,
surfing,Lacerations to hand and wrist,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to foot,non-fatal,other,14,Teen,,,,,,
swimming,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,non-fatal,white shark,,Unknown,,,,,,
surfing,"No injury, surboard bitten",non-fatal,other,,Unknown,,,,,,
surfing,Right hand bitten,non-fatal,other,19,Young Adult,,,,,,
other,His boat was holed by a shark,non-fatal,white shark,48,Adult,,,,,,
fishing,No injury but shark took his pole spear,non-fatal,reef shark,42,Adult,,,,,,
surfing,"No injury, surfboard 'attacked'",non-fatal,other,,Unknown,,,,,,
fishing,Severe injury to arm,non-fatal,other,43,Adult,,,,,,
other,Minor injury to torso,non-fatal,whaler shark,39,Adult,,,,,,
surfing,Left arm bitten,non-fatal,other,43,Adult,,,,,,
swimming,Laceration to right lower leg,non-fatal,bull shark,22,Young Adult,,,,,,
surfing,Lacerations & puncture wounds to ankle and foot,non-fatal,other,,Unknown,,,,,,
other,Laceration to left hand,non-fatal,reef shark,37,Adult,,,,,,
other,Lacerations to legs,non-fatal,bull shark,29,Young Adult,,,,,,
surfing,"No injury, but surfboard severely damaged",non-fatal,white shark,35,Young Adult,,,,,,
wading,Lacerations and puncture wounds to right foot,non-fatal,other,44,Adult,,,,,,
surfing,Puncture wounds to right thigh,non-fatal,other,12,Child,,,,,,
diving,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",unknown,other,,Unknown,,,,,,
swimming,Lacerations to left foot,non-fatal,other,40,Adult,,,,,,
diving,4-inch laceration to arm,non-fatal,other,,Unknown,,,,,,
surfing,Laceration to right hand and cuts on fingertips,non-fatal,other,23,Young Adult,,,,,,
fishing,Minor injury,non-fatal,reef shark,,Unknown,,,,,,
swimming,Laceration & puncture wounds to right foot,non-fatal,other,42,Adult,,,,,,
wading,Minor lacerations to left foot,non-fatal,other,25,Young Adult,,,,,,
other,"No injury to occupants, shark bit pontoon",non-fatal,white shark,,Unknown,,,,,,
fishing,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Minor puncture wounds to lower left leg,non-fatal,other,13,Teen,,,,,,
surfing,Lacerations to foot,non-fatal,other,14,Teen,,,,,,
swimming,FATAL,fatal,white shark,63,Senior,,,,,,
swimming,FATAL,fatal,other,66,Senior,,,,,,
surfing,Lacerations to left forearm,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to toes and heel of right foot,non-fatal,other,9,Child,,,,,,
surfing,Lacerations to calf,non-fatal,other,42,Adult,,,,,,
surfing,Shark leapt onto surfboard; surfer uninjured ,non-fatal,other,42,Adult,,,,,,
swimming,Minor lacerations to foot,non-fatal,other,,Unknown,,,,,,
fishing,"Caribbean reef shark buzzed him. No injury, no attack. ",unknown,other,,Unknown,,,,,,
surfing,Lacerations to toes,non-fatal,other,21,Young Adult,,,,,,
surfing,Lacerations to lower leg,non-fatal,reef shark,21,Young Adult,,,,,,
fishing,FATAL,fatal,other,28,Young Adult,,,,,,
fishing,Possibly a PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to leg,non-fatal,other,28,Young Adult,,,,,,
fishing,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Minor injury to left lower leg & heel,non-fatal,other,24,Young Adult,,,,,,
other,"""Minor laceration to shoulder""",non-fatal,white shark,,Unknown,,,,,,
other,"No injury to occupants, shark nudged and bit boat",non-fatal,white shark,,Unknown,,,,,,
snorkeling,Leg bitten,non-fatal,bull shark,37,Adult,,,,,,
surfing,Injuries to left thigh,non-fatal,white shark,19,Young Adult,,,,,,
fishing,Severe injury to arm,non-fatal,other,35,Young Adult,,,,,,
other,Lacerations to right hand & knee,non-fatal,tiger shark,29,Young Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,30,Young Adult,,,,,,
surfing,"Puncture wounds to hand, laceration to leg",non-fatal,other,26,Young Adult,,,,,,
fishing,FATAL,fatal,other,57,Adult,,,,,,
other,FATAL,fatal,tiger shark,19,Young Adult,,,,,,
snorkeling,Right calf bitten,non-fatal,other,58,Adult,,,,,,
surfing,FATAL,fatal,white shark,35,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,white shark,25,Young Adult,,,,,,
surfing,"No injury, board bumped by shark",non-fatal,white shark,,Unknown,,,,,,
fishing,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,non-fatal,other,77,Senior,,,,,,
surfing,Foot bitten,non-fatal,other,,Unknown,,,,,,
other,Severe bite to right calf & anklel,non-fatal,tiger shark,46,Adult,,,,,,
snorkeling,Lacerations to right arm,non-fatal,reef shark,60,Adult,,,,,,
other,Right leg severed,non-fatal,bull shark,24,Young Adult,,,,,,
fishing,"No injury, swim fin shredded",non-fatal,white shark,,Unknown,,,,,,
surfing,Injuries to right foot,non-fatal,other,41,Adult,,,,,,
diving,"3"" laceration to left hip",non-fatal,white shark,45,Adult,,,,,,
surfing,"No injury, shark bit surfboard",non-fatal,tiger shark,25,Young Adult,,,,,,
wading,Bitten on left calf & foot,non-fatal,other,6,Child,,,,,,
swimming,FATAL,fatal,white shark,74,Senior,,,,,,
other,"Injuries to torso, head and face",non-fatal,white shark,55,Adult,,,,,,
surfing,Laceration to thigh,non-fatal,white shark,45,Adult,,,,,,
wading,Lacerations to  right forearm,non-fatal,bull shark,12,Child,,,,,,
surfing,Lacerations to hand,non-fatal,other,50,Adult,,,,,,
diving,Hand bitten ,non-fatal,other,27,Young Adult,,,,,,
swimming,Lacerations to right foot,non-fatal,other,45,Adult,,,,,,
surfing,Lacerations to left foream,non-fatal,other,,Unknown,,,,,,
swimming,Lacerations to right foot,non-fatal,bull shark,21,Young Adult,,,,,,
surfing,Heel bitten,non-fatal,other,13,Teen,,,,,,
surfing,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,non-fatal,other,43,Adult,,,,,,
swimming,Shoulder bitten,non-fatal,other,17,Teen,,,,,,
fishing,Lower left leg bitten,non-fatal,other,,Unknown,,,,,,
swimming,Foot bitten,non-fatal,other,,Unknown,,,,,,
swimming,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",unknown,other,47,Adult,,,,,,
fishing,Laceration to right arm from hooked shark  PROVOKED INCIDENT,non-fatal,mako shark,50,Adult,,,,,,
surfing,Lacerations to buttocks & thigh,non-fatal,other,16,Teen,,,,,,
surfing,"No injury, shark bumped surfboard",non-fatal,white shark,,Unknown,,,,,,
snorkeling,FATAL,fatal,tiger shark,20,Young Adult,,,,,,
surfing,"No injury, shark became entangled in his surfboard leash",non-fatal,bull shark,10,Child,,,,,,
fishing,Minor injury to foot & shin,non-fatal,bull shark,17,Teen,,,,,,
snorkeling,"Lacerations to hand, face and torso",non-fatal,other,56,Adult,,,,,,
swimming,Foot bitten,non-fatal,other,32,Young Adult,,,,,,
fishing,Leg bitten,non-fatal,other,40,Adult,,,,,,
wading,Hip bitten,non-fatal,other,,Unknown,,,,,,
surfing,Lower leg bitten,non-fatal,tiger shark,18,Teen,,,,,,
fishing,Bitten on left hand,non-fatal,other,64,Senior,,,,,,
diving,Bitten on rear lower extremities,non-fatal,other,50,Adult,,,,,,
swimming,FATAL,fatal,other,18,Teen,,,,,,
surfing,Lacerations and abrasions to foot and ankle,non-fatal,other,50,Adult,,,,,,
swimming,4 cuts to posterior calf,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,15,Teen,,,,,,
swimming,FATAL,fatal,other,33,Young Adult,,,,,,
wading,Right foot bitten,non-fatal,other,63,Senior,,,,,,
swimming,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",unknown,other,48,Adult,,,,,,
surfing,"No injury, holes in wetsuit ",non-fatal,other,29,Young Adult,,,,,,
fishing,Right thigh bitten,non-fatal,other,,Unknown,,,,,,
fishing,"No injury, kayak scratched",non-fatal,white shark,,Unknown,,,,,,
swimming,Lacerations to left foot,non-fatal,bull shark,,Unknown,,,,,,
swimming,"Bitten on lower right leg, reported as a minor injury",non-fatal,other,14,Teen,,,,,,
swimming,Right thigh & calf bitten,non-fatal,tiger shark,28,Young Adult,,,,,,
swimming,Left leg & hand bitten,non-fatal,other,15,Teen,,,,,,
surfing,Lacerations to knee,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left ankle,non-fatal,other,,Unknown,,,,,,
fishing,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,non-fatal,other,58,Adult,,,,,,
surfing,"No injury, board damaged",non-fatal,other,,Unknown,,,,,,
diving,Lacerations to right hand,non-fatal,other,32,Young Adult,,,,,,
swimming,Right foot bitten,non-fatal,other,11,Child,,,,,,
fishing,Two fingers lost PROVOKED INCIDENT,non-fatal,other,30,Young Adult,,,,,,
surfing,Superficial injury to left calf,non-fatal,other,29,Young Adult,,,,,,
surfing,Shark bites were post-mortem,unknown,other,42,Adult,,,,,,
other,FATAL,fatal,bull shark,36,Adult,,,,,,
surfing,Lacerations to left foot and ankle,non-fatal,other,16,Teen,,,,,,
fishing,Foot bitten by landed shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
swimming,Avulsion injury  to lower right leg,non-fatal,tiger shark,34,Young Adult,,,,,,
fishing,Puncture wounds and lacerations to both legs,non-fatal,other,51,Adult,,,,,,
surfing,Lacerations to right foot,non-fatal,other,9,Child,,,,,,
surfing,Minor lacerations to right hand,non-fatal,bull shark,21,Young Adult,,,,,,
other,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",non-fatal,reef shark,53,Adult,,,,,,
swimming,Lacerations to hand,non-fatal,other,50,Adult,,,,,,
surfing,Right thigh bitten,non-fatal,other,58,Adult,,,,,,
surfing,Never happened; it was a  hoax,unknown,other,47,Adult,,,,,,
snorkeling,Toe injured,non-fatal,other,,Unknown,,,,,,
fishing,Left foot bitten,non-fatal,other,50,Adult,,,,,,
fishing,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,non-fatal,other,30,Young Adult,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,other,,Unknown,,,,,,
fishing,FATAL,fatal,tiger shark,68,Senior,,,,,,
fishing,Laceration to left hand,non-fatal,whaler shark,28,Young Adult,,,,,,
swimming,Minor leg injuries,non-fatal,other,,Unknown,,,,,,
swimming,Injuries to arms & hands,non-fatal,other,39,Adult,,,,,,
swimming,FATAL,fatal,white shark,46,Adult,,,,,,
surfing,Lacerations to right leg,non-fatal,reef shark,,Unknown,,,,,,
surfing,"No injury, shark bit rail of foam board",non-fatal,reef shark,,Unknown,,,,,,
surfing,Lacerations to right hand,non-fatal,other,16,Teen,,,,,,
fishing,"No injury to occupants, shark bit propeller",non-fatal,white shark,,Unknown,,,,,,
surfing,Lacerations to neck,non-fatal,other,,Unknown,,,,,,
surfing,Left forearm bitten ,non-fatal,tiger shark,43,Adult,,,,,,
fishing,Minor cut on finger,non-fatal,whaler shark,,Unknown,,,,,,
fishing,Calf & shin bitten ,non-fatal,other,26,Young Adult,,,,,,
swimming,Lower leg or ankle bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, chunk missing from surfboard",non-fatal,other,23,Young Adult,,,,,,
paddle,Lacerations to thigh and hand,non-fatal,bull shark,29,Young Adult,,,,,,
swimming,FATAL,fatal,tiger shark,20,Young Adult,,,,,,
surfing,No injury,non-fatal,tiger shark,32,Young Adult,,,,,,
surfing,Lacerations to left foot,non-fatal,other,60,Adult,,,,,,
fishing,Minor puncture wounds to knee,non-fatal,tiger shark,31,Young Adult,,,,,,
snorkeling,Lacerations to thigh & lower left leg,non-fatal,tiger shark,61,Senior,,,,,,
swimming,FATAL,fatal,other,32,Young Adult,,,,,,
surfing,Minor lacerations to left foot & heel,non-fatal,other,14,Teen,,,,,,
diving,Right lower leg and foot bitten,non-fatal,tiger shark,30,Young Adult,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,tiger shark,43,Adult,,,,,,
surfing,Multiple lacerations to torso,non-fatal,white shark,25,Young Adult,,,,,,
swimming,"Puncture wounds to thigh, defense wounds  to hand",non-fatal,tiger shark,51,Adult,,,,,,
surfing,FATAL,fatal,white shark,39,Adult,,,,,,
surfing,Minor bite to ankle,non-fatal,other,24,Young Adult,,,,,,
paddle,"No injury, board bitten",non-fatal,other,55,Adult,,,,,,
surfing,"No ijnury to boardrider, shark struck board breaking the mast",non-fatal,other,42,Adult,,,,,,
surfing,Lacerations to left forearm,non-fatal,other,21,Young Adult,,,,,,
surfing,Left foot bitten,non-fatal,other,22,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,other,52,Adult,,,,,,
swimming,Injuries to thighs & buttocks,non-fatal,bull shark,29,Young Adult,,,,,,
surfing,Minor injury to elbow,non-fatal,other,19,Young Adult,,,,,,
surfing,Right foot bitten,non-fatal,other,25,Young Adult,,,,,,
swimming,Lacerations to right calf,non-fatal,other,,Unknown,,,,,,
surfing,Right calf bitten,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to foot,non-fatal,other,37,Adult,,,,,,
surfing,Puncture wounds to hand,non-fatal,other,32,Young Adult,,,,,,
fishing,Minor laceration to hand  PROVOKED INCIDENT,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Puncture wound to left ankle,non-fatal,other,56,Adult,,,,,,
fishing,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",non-fatal,other,53,Adult,,,,,,
surfing,Lacerations to torso and arm,non-fatal,other,34,Young Adult,,,,,,
swimming,FATAL,fatal,other,18,Teen,,,,,,
swimming,Lacerations to leg,non-fatal,other,31,Young Adult,,,,,,
fishing,"No injury, shark grabbed outboard motor",non-fatal,other,,Unknown,,,,,,
surfing,Right hand and foot severed,non-fatal,bull shark,39,Adult,,,,,,
fishing,Shoulder bitten,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, surfer knocked off board when shark struck surfboard",non-fatal,other,17,Teen,,,,,,
surfing,Lacerations to torso & arm,non-fatal,white shark,48,Adult,,,,,,
surfing,Left foot bitten,non-fatal,other,44,Adult,,,,,,
surfing,Lacerations to both legs below the knees,non-fatal,white shark,50,Adult,,,,,,
surfing,FATAL,fatal,other,22,Young Adult,,,,,,
swimming,Probable drowning with post-mortem bite,unknown,other,24,Young Adult,,,,,,
surfing,"Lacerations to 2 fingers, but shark involvement unconfirmed",unknown,other,23,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,24,Young Adult,,,,,,
swimming,Lacerations to right ankle and calf,non-fatal,other,43,Adult,,,,,,
fishing,Lacerations to right leg,non-fatal,other,,Unknown,,,,,,
kayaking,"No injury, kayak bitten",non-fatal,other,52,Adult,,,,,,
surfing,Lacerattions to left thigh & knee,non-fatal,other,29,Young Adult,,,,,,
swimming,"Leg struck. Initally reported as a shark attack, but involved a swordfish",unknown,other,60,Adult,,,,,,
swimming,Thigh bitten,non-fatal,bull shark,6,Child,,,,,,
surfing,Nip to left foot,non-fatal,other,26,Young Adult,,,,,,
other,Laceration to left calf,non-fatal,reef shark,16,Teen,,,,,,
surfing,"Knocked off board, shark bit nose off surfboard",non-fatal,other,,Unknown,,,,,,
swimming,Minor injury,non-fatal,other,12,Child,,,,,,
surfing,"No injury, ski severely damaged",non-fatal,other,62,Senior,,,,,,
wading,Numerous puncture wounds to leg ,non-fatal,other,6,Child,,,,,,
fishing,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,non-fatal,other,23,Young Adult,,,,,,
swimming,Foot & hand bitten,non-fatal,other,18,Teen,,,,,,
swimming,Minor injury,non-fatal,other,,Unknown,,,,,,
swimming,Calf bitten,non-fatal,other,,Unknown,,,,,,
swimming,Laceration to right foot,non-fatal,other,16,Teen,,,,,,
surfing,Laceration to right foot,non-fatal,other,42,Adult,,,,,,
surfing,"No injury, ski bitten",non-fatal,white shark,30,Young Adult,,,,,,
surfing,Laceration to thigh,non-fatal,other,12,Child,,,,,,
wading,Foot bitten,non-fatal,other,33,Young Adult,,,,,,
fishing,Left hand severed,non-fatal,bull shark,46,Adult,,,,,,
surfing,Lacerations to foot,non-fatal,other,22,Young Adult,,,,,,
fishing,"No injury, teethmarks in kayak",non-fatal,tiger shark,,Unknown,,,,,,
fishing,Lacerations to head,non-fatal,other,20,Young Adult,,,,,,
fishing,"No injury, kayaker fell in the water when kayak bitten by a shark",non-fatal,white shark,30,Young Adult,,,,,,
swimming,Upper left thigh bitten,non-fatal,other,47,Adult,,,,,,
paddle,"No injury, shark bit paddleboard",non-fatal,white shark,15,Teen,,,,,,
surfing,Lacerations to hand,non-fatal,other,28,Young Adult,,,,,,
other,FATAL,fatal,white shark,20,Young Adult,,,,,,
kayaking,Minor wound to his thigh when shark bit kayak,non-fatal,white shark,27,Young Adult,,,,,,
surfing,Lacerations to left foot,non-fatal,tiger shark,28,Young Adult,,,,,,
other,FATAL,fatal,white shark,33,Young Adult,,,,,,
surfing,Minor lacerations to foot,non-fatal,other,21,Young Adult,,,,,,
fishing,"No injury to occupants. Shark bit propelle, rope & crayfish float",non-fatal,white shark,,Unknown,,,,,,
surfing,Lacerations to left calf,non-fatal,bull shark,20,Young Adult,,,,,,
surfing,Left forearm bitten,non-fatal,bull shark,61,Senior,,,,,,
surfing,Bitten on ankle,non-fatal,other,15,Teen,,,,,,
surfing,Bitten on calf,non-fatal,other,17,Teen,,,,,,
surfing,Lacerations to left calf,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left calf,non-fatal,other,19,Young Adult,,,,,,
surfing,Harassed by sharks but not injured by them,unknown,other,42,Adult,,,,,,
fishing,Hand injured PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Laceration to right foot when he struck a shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Laceration to left foot,non-fatal,other,,Unknown,,,,,,
fishing,"No injury to occupants, boat damaged",non-fatal,white shark,,Unknown,,,,,,
surfing,"No injury, but fin lost from surfboard",non-fatal,other,29,Young Adult,,,,,,
snorkeling,"No injury, shark bit swim fin",non-fatal,other,,Unknown,,,,,,
snorkeling,Lacerations to right forearm,non-fatal,tiger shark,26,Young Adult,,,,,,
other,"No injury, shark grabbed his camera",non-fatal,tiger shark,,Unknown,,,,,,
fishing,Bitten on left thigh     PROVOKED ACCIDENT,non-fatal,other,24,Young Adult,,,,,,
surfing,Lacerations to thigh,non-fatal,white shark,44,Adult,,,,,,
swimming,FATAL,fatal,bull shark,25,Young Adult,,,,,,
surfing,"No injury, surfboard damaged",non-fatal,white shark,53,Adult,,,,,,
surfing,Right forearm and wrist injured,non-fatal,other,28,Young Adult,,,,,,
fishing,"No injury, punctures to swim fin",non-fatal,tiger shark,34,Young Adult,,,,,,
swimming,Bitten on right hand & wrist,unknown,other,,Unknown,,,,,,
surfing,Lacerations to left thigh and calf,non-fatal,other,23,Young Adult,,,,,,
surfing,Laceration to ankle,non-fatal,other,27,Young Adult,,,,,,
fishing,No injury but kayak dented,non-fatal,other,35,Young Adult,,,,,,
surfing,5 puncture wounds to thigh,non-fatal,white shark,51,Adult,,,,,,
surfing,"No injury, ski damaged",unknown,other,,Unknown,,,,,,
surfing,Minor injuries to left leg ,non-fatal,other,14,Teen,,,,,,
surfing,Minor injury to calf ,non-fatal,other,,Unknown,,,,,,
fishing,Killed by a shark or crocodile.,unknown,other,,Unknown,,,,,,
surfing,Torn shoulder ligament as result of collision with shark,non-fatal,other,63,Senior,,,,,,
surfing,Lacerations to right hand,non-fatal,other,18,Teen,,,,,,
swimming,Puncture marks to foot,non-fatal,other,10,Child,,,,,,
kayaking,"No injury, kayak bitten",non-fatal,white shark,,Unknown,,,,,,
surfing,Legs bitten,non-fatal,other,35,Young Adult,,,,,,
fishing,Left foot bitten,non-fatal,other,42,Adult,,,,,,
surfing,"Lacerations to right wrist, foream & neck",non-fatal,white shark,27,Young Adult,,,,,,
surfing,"No injury, shark bumped leg & board. ",non-fatal,other,26,Young Adult,,,,,,
diving,Arm bitten by captive shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
diving,FATAL,fatal,white shark,32,Young Adult,,,,,,
surfing,"No injury, shark bit surfboard",non-fatal,white shark,41,Adult,,,,,,
diving,Small bruise to calf,non-fatal,other,50,Adult,,,,,,
surfing,Foot bitten,non-fatal,other,,Unknown,,,,,,
surfing,No injury,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,other,64,Senior,,,,,,
fishing,Minor injury to thigh,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to lower right leg ,unknown,other,27,Young Adult,,,,,,
fishing,Severe injuries to left arm PROVOKED INCIDENT,non-fatal,other,48,Adult,,,,,,
swimming,"Right leg severed, left leg lacerated",non-fatal,white shark,43,Adult,,,,,,
fishing,Laceration to left thigh,non-fatal,bull shark,21,Young Adult,,,,,,
swimming,FATAL,fatal,other,17,Teen,,,,,,
surfing,Lacerations to arm,non-fatal,other,25,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,other,37,Adult,,,,,,
surfing,Lacerations to right leg,non-fatal,tiger shark,30,Young Adult,,,,,,
surfing,"No injury, shark bit surfboard",non-fatal,other,,Unknown,,,,,,
other,FATAL,fatal,white shark,21,Young Adult,,,,,,
surfing,Lacerations to ankle & foot,non-fatal,other,19,Young Adult,,,,,,
surfing,Lacerations to lower leg,non-fatal,other,19,Young Adult,,,,,,
swimming,FATAL,unknown,other,48,Adult,,,,,,
fishing,"Lacerations to anterior left shin, abrasion to posteior right leg",non-fatal,other,39,Adult,,,,,,
surfing,Lacerations to foot,non-fatal,other,21,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,49,Adult,,,,,,
swimming,"Lacerations to hip, thigh and knee",non-fatal,other,16,Teen,,,,,,
wading,Lacerations to foot,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Hands severed,non-fatal,other,25,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,reef shark,32,Young Adult,,,,,,
swimming,FATAL,fatal,bull shark,30,Young Adult,,,,,,
surfing,Puncture wounds to foot,non-fatal,other,7,Child,,,,,,
swimming,Lower right leg bitten,non-fatal,other,54,Adult,,,,,,
diving,FATAL,fatal,other,36,Adult,,,,,,
swimming,Cause of death may have been drowning; remains scavenged by sharks,unknown,other,14,Teen,,,,,,
fishing,"No injury, shark bit boot",non-fatal,other,,Unknown,,,,,,
surfing,Upper left arm & right leg bitten,non-fatal,white shark,29,Young Adult,,,,,,
kayaking,No injury,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left foot,non-fatal,other,,Unknown,,,,,,
swimming,Foot bitten,non-fatal,other,12,Child,,,,,,
fishing,Lacerations to right foot,non-fatal,other,14,Teen,,,,,,
surfing,Minor injuries: scratches on nose & ankle. Board broken in two,non-fatal,other,16,Teen,,,,,,
kayaking,"Right arm bitten, defense wounds to left hand",non-fatal,other,17,Teen,,,,,,
snorkeling,Lacerations to left shoulder and back,non-fatal,other,28,Young Adult,,,,,,
surfing,Lacerations to right thigh,non-fatal,other,21,Young Adult,,,,,,
other,Severe lacerations to hands and  left leg,non-fatal,bull shark,22,Young Adult,,,,,,
surfing,Ankle bitten,non-fatal,bull shark,10,Child,,,,,,
surfing,Shark leapt onto surfboard; surfer uninjured ,non-fatal,white shark,,Unknown,,,,,,
fishing,Right calf bitten,non-fatal,other,35,Young Adult,,,,,,
surfing,FATAL,fatal,other,15,Teen,,,,,,
fishing,"No injury, shark slammed into boat",non-fatal,white shark,,Unknown,,,,,,
fishing,Injuries to right hand and forearm,non-fatal,other,24,Young Adult,,,,,,
fishing,"No injury, minor damage to wetsuit",non-fatal,other,28,Young Adult,,,,,,
wading,Puncture wound to calf,non-fatal,other,19,Young Adult,,,,,,
snorkeling,Laceration to dorsum of right foot,non-fatal,reef shark,,Unknown,,,,,,
surfing,"No injury, board bumped by shark",non-fatal,white shark,33,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,tiger shark,,Unknown,,,,,,
paddle,"No injury, board bitten",non-fatal,tiger shark,,Unknown,,,,,,
fishing,"Thigh bitten, FATAL",fatal,other,28,Young Adult,,,,,,
surfing,Lacerations to left foot & ankle,non-fatal,other,86,Senior,,,,,,
other,"Thigh bitten, FATAL",fatal,tiger shark,15,Teen,,,,,,
surfing,Minor injury; puncture wounds to calf,non-fatal,other,37,Adult,,,,,,
fishing,Laceration to arm by captive shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",unknown,other,43,Adult,,,,,,
fishing,Calf bitten,non-fatal,other,37,Adult,,,,,,
fishing,Calf bitten,non-fatal,bull shark,32,Young Adult,,,,,,
fishing,Heel bitten,non-fatal,reef shark,17,Teen,,,,,,
surfing,Minor puncture wounds,non-fatal,other,49,Adult,,,,,,
surfing,Puncture to left hand,non-fatal,whaler shark,41,Adult,,,,,,
surfing,Lacerations to forearm,non-fatal,bull shark,,Unknown,,,,,,
diving,Minor injuries to left leg and hand,non-fatal,other,27,Young Adult,,,,,,
swimming,Lower leg & foot bitten,non-fatal,bull shark,,Unknown,,,,,,
surfing,Severe injury to left forearm,non-fatal,bull shark,48,Adult,,,,,,
